Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Romance of the Three Kingdoms II (USA).zip|Romance of the Three Kingdoms II (USA)|三国演义2
Romance of the Three Kingdoms (USA).zip|Romance of the Three Kingdoms (USA)|三国演义
Romancia (Japan).zip|Romancia (Japan)|爱的罗曼史
Roundball - 2-on-2 Challenge (Europe).zip|Roundball - 2-on-2 Challenge (Europe)|双人篮球（欧）
Roundball - 2-on-2 Challenge (USA).zip|Roundball - 2-on-2 Challenge (USA)|双人篮球（美）
Round little angel.zip|Round little angel|圆圆的小天使
Rowing battle.zip|Rowing battle|赛艇战
Royal Blood (Japan).zip|Royal Blood (Japan)|皇家血统
Rumble Station - 15 in 1 (USA) (Unl).zip|Rumble Station - 15 in 1 (USA) (Unl)|15合1
Runaway (Ver4_0).zip|Runaway (Ver4_0)|失控
Ruo Dao's Revenge 2.zip|Ruo Dao's Revenge 2|武士2复仇
Ruo Ke and the adventures of his friends.zip|Ruo Ke and the adventures of his friends|洛克大冒险
Rush'n Attack (Europe).zip|Rush'n Attack (Europe)|绿色兵团（欧）
Rush'n Attack (USA).zip|Rush'n Attack (USA)|绿色兵团（美）
Russian 2nd Generation - Tengen Edition.zip|Russian 2nd Generation - Tengen Edition|怪物猎人2
Ryan and Stingby.zip|Ryan and Stingby|小气鬼里安
Rygar (Europe).zip|Rygar (Europe)|阿尔戈斯战士（欧）
Rygar (USA).zip|Rygar (USA)|阿尔戈斯战士（美）
Rygar (USA) (Rev A).zip|Rygar (USA) (Rev A)|阿尔戈斯战士
Safety Rally (Japan).zip|Safety Rally (Japan)|安全拉力赛
Sainak.zip|Sainak|塞纳克
Saint Seiya - Ougon Densetsu Kanketsu Hen (Japan) (Beta).zip|Saint Seiya - Ougon Densetsu Kanketsu Hen (Japan) (Beta)|圣斗士星矢 黄金传说完结篇
Saint Seiya - Ougon Densetsu Kanketsu Hen (Japan).zip|Saint Seiya - Ougon Densetsu Kanketsu Hen (Japan)|圣斗士星矢 黄金传说完结篇（日）
Saiyuuki World 2 - Tenjoukai no Majin (Japan).zip|Saiyuuki World 2 - Tenjoukai no Majin (Japan)|西游记世界2
Saiyuuki World (Japan).zip|Saiyuuki World (Japan)|西游记世界
Salamander (Japan).zip|Salamander (Japan)|沙罗曼蛇
Samsara Naga (Japan).zip|Samsara Naga (Japan)|轮回龙
Sanada Juu Yuushi (Japan).zip|Sanada Juu Yuushi (Japan)|真田十勇士
Sangokushi - Chuugen no Hasha (Japan).zip|Sangokushi - Chuugen no Hasha (Japan)|三国志-中原之霸者?
Sangokushi II - Haou no Tairiku (Japan).zip|Sangokushi II - Haou no Tairiku (Japan)|三国志Ⅱ：霸王的大陆
Sangokushi II (Japan).zip|Sangokushi II (Japan)|三国史2（日）
Sangokushi II (Japan) (Rev AB).zip|Sangokushi II (Japan) (Rev AB)|三国史2
Sangokushi (Japan).zip|Sangokushi (Japan)|三国史（日）
San Guo Zhi - Qun Xiong Zheng Ba (Asia) (Unl).zip|San Guo Zhi - Qun Xiong Zheng Ba (Asia) (Unl)|三国志-群雄争霸
Sanma no Mei Tantei (Japan).zip|Sanma no Mei Tantei (Japan)|名侦探山马
Sanrio Carnival 2 (Japan).zip|Sanrio Carnival 2 (Japan)|凯蒂猫方块2
Sanrio Carnival (Japan).zip|Sanrio Carnival (Japan)|凯蒂猫方块
Sansuu 2 Nen - Keisan Game (Japan).zip|Sansuu 2 Nen - Keisan Game (Japan)|算数2
Sansuu 4 Nen - Keisan Game (Japan) (Beta).zip|Sansuu 4 Nen - Keisan Game (Japan) (Beta)|算数4
Sansuu 4 Nen - Keisan Game (Japan).zip|Sansuu 4 Nen - Keisan Game (Japan)|算数4
Sansuu 5 & 6 Nen - Keisan Game (Japan) (Beta).zip|Sansuu 5 & 6 Nen - Keisan Game (Japan) (Beta)|算数5和6
Sansuu 5 & 6 Nen - Keisan Game (Japan).zip|Sansuu 5 & 6 Nen - Keisan Game (Japan)|算数5和6
Satomi Hakkenden (Japan).zip|Satomi Hakkenden (Japan)|里见八犬传
Satsui no Kaisou - Soft House Renzoku Satsujin Jiken (Japan).zip|Satsui no Kaisou - Soft House Renzoku Satsujin Jiken (Japan)|三井县
Save love.zip|Save love|拯救生命
Save the princess battle.zip|Save the princess battle|战争公主
Scarabeus (USA) (Sample).zip|Scarabeus (USA) (Sample)|甲虫轮盘
S.C.A.T. - Special Cybernetic Attack Team (USA) (Beta).zip|S.C.A.T. - Special Cybernetic Attack Team (USA) (Beta)|最终任务
S.C.A.T. - Special Cybernetic Attack Team (USA).zip|S.C.A.T. - Special Cybernetic Attack Team (USA)|最终任务（美）
SD Battle Oozumou - Heisei Hero Basho (Japan).zip|SD Battle Oozumou - Heisei Hero Basho (Japan)|SD 战斗大相扑 - 平成英雄场所
SD Gundam - Gachapon Senshi 2 - Capsule Senki (Japan).zip|SD Gundam - Gachapon Senshi 2 - Capsule Senki (Japan)|SD高达2
SD Gundam - Gachapon Senshi 3 - Eiyuu Senki (Japan).zip|SD Gundam - Gachapon Senshi 3 - Eiyuu Senki (Japan)|SD高达3
SD Gundam - Gachapon Senshi 4 - NewType Story (Japan).zip|SD Gundam - Gachapon Senshi 4 - NewType Story (Japan)|SD高达4
SD Gundam - Gachapon Senshi 5 - Battle of Universal Century (Japan).zip|SD Gundam - Gachapon Senshi 5 - Battle of Universal Century (Japan)|SD高达5
SD Gundam Gaiden - Knight Gundam Monogatari 3 - Densetsu no Kishi Dan (Japan).zip|SD Gundam Gaiden - Knight Gundam Monogatari 3 - Densetsu no Kishi Dan (Japan)|SD?高达外传?3:骑士物语
SD Gundam Gaiden - Knight Gundam Monogatari (Japan).zip|SD Gundam Gaiden - Knight Gundam Monogatari (Japan)|SD刚弹外传（日）
SD Hero Soukessen - Taose! Aku no Gundan (Japan).zip|SD Hero Soukessen - Taose! Aku no Gundan (Japan)|SD英雄总决战
SD hero total battle - defeat the evil army.zip|SD hero total battle - defeat the evil army|SD英雄战队
SD Keiji - Blader (Japan).zip|SD Keiji - Blader (Japan)|SD刑事
SD Sengoku Bushou Retsuden (Japan).zip|SD Sengoku Bushou Retsuden (Japan)|SD战国武将烈传
Secret Scout in the Temple of Demise (USA) (Beta) (Unl).zip|Secret Scout in the Temple of Demise (USA) (Beta) (Unl)|秘密侦察兵
Secret Scout in the Temple of Demise (USA) (Unl).zip|Secret Scout in the Temple of Demise (USA) (Unl)|秘密侦察兵
Secret Ties (USA) (Proto).zip|Secret Ties (USA) (Proto)|神秘束缚
Section-Z (Europe).zip|Section-Z (Europe)|绝对合体（欧）
Seicross (Japan).zip|Seicross (Japan)|霹雳机车（日）
Seicross (Japan) (Rev 1).zip|Seicross (Japan) (Rev 1)|霹雳机车
Seicross (USA).zip|Seicross (USA)|霹雳机车（美）
Seikima II - Akuma no Gyakushuu! (Japan).zip|Seikima II - Akuma no Gyakushuu! (Japan)|聖飢魔II
Seirei Densetsu Lickle (Japan).zip|Seirei Densetsu Lickle (Japan)|圣铃传说
Seirei Gari (Japan).zip|Seirei Gari (Japan)|星灵猎人
Seiryaku Simulation - Inbou no Wakusei - Shancara (Japan).zip|Seiryaku Simulation - Inbou no Wakusei - Shancara (Japan)|阴谋之惑星
Sekiryuuou (Japan).zip|Sekiryuuou (Japan)|赤龙王
Senjou no Ookami (Japan).zip|Senjou no Ookami (Japan)|战场之狼
Sensha Senryaku - Sabaku no Kitsune (Japan).zip|Sensha Senryaku - Sabaku no Kitsune (Japan)|沙漠之狐
Sesame Street 123 (USA).zip|Sesame Street 123 (USA)|芝麻街123号
Sesame Street ABC & 123 (USA).zip|Sesame Street ABC & 123 (USA)|芝麻街 字母游戏和123号
Sesame Street ABC (USA).zip|Sesame Street ABC (USA)|芝麻街 字母游戏
Sesame Street - Big Bird's Hide & Speak (USA).zip|Sesame Street - Big Bird's Hide & Speak (USA)|芝麻街 大鸟的隐语
Sesame Street Countdown (USA).zip|Sesame Street Countdown (USA)|芝麻街-学倒数
Sesame Street - English Countdown.zip|Sesame Street - English Countdown|芝麻街
Shadow Brain (Japan).zip|Shadow Brain (Japan)|魅影智慧（日）
Shadowgate (Europe).zip|Shadowgate (Europe)|暗影之门?（欧）
Shadowgate (France).zip|Shadowgate (France)|暗影之门?（法）
Shadowgate (Japan).zip|Shadowgate (Japan)|暗影之门?（日）
Shadowgate (Sweden).zip|Shadowgate (Sweden)|暗影之门?（瑞）
Shadowgate (USA).zip|Shadowgate (USA)|暗影之门?（美）
Shadow legend.zip|Shadow legend|黑暗传说暗影之战
Shadow of the Ninja (USA).zip|Shadow of the Ninja (USA)|赤影战士
Shadow Warriors (Europe).zip|Shadow Warriors (Europe)|忍者龙剑传
Shadow Warriors II - Ninja Gaiden II (Europe).zip|Shadow Warriors II - Ninja Gaiden II (Europe)|忍者龙剑传2 - 暗黑之邪神剑
Shaffle Fight (Japan).zip|Shaffle Fight (Japan)|英雄大战（日）
Shang Gu Shen Jian (China) (Unl).zip|Shang Gu Shen Jian (China) (Unl)|上古神剑
Shanghai 2.zip|Shanghai 2|上海2
Shanghai II (Japan).zip|Shanghai II (Japan)|上海2（日）
Shanghai (Japan).zip|Shanghai (Japan)|上海（日）
Shanghai (Japan) (Sample).zip|Shanghai (Japan) (Sample)|上海
Shanghai Mahjong.zip|Shanghai Mahjong|上海麻将
Sharoman Snake 1.zip|Sharoman Snake 1|沙罗曼蛇1
Sharoman Snake 2 (Chinese version).zip|Sharoman Snake 2 (Chinese version)|沙罗曼蛇2
Sharoman Snake 3.zip|Sharoman Snake 3|沙罗曼蛇3
Sharoman snake.zip|Sharoman snake|沙罗曼蛇
Shatterhand (USA).zip|Shatterhand (USA)|特救指令（美）
Sheng Huo Lie Zhuan (Asia) (Unl).zip|Sheng Huo Lie Zhuan (Asia) (Unl)|圣火列传
Shen Tan Ke Nan (China) (Unl).zip|Shen Tan Ke Nan (China) (Unl)|神探柯南
Sherlock Holmes - Hakushaku Reijou Yuukai Jiken (Japan).zip|Sherlock Holmes - Hakushaku Reijou Yuukai Jiken (Japan)|福尔摩斯:伯爵夫人诱拐事件
Shikinjou (Japan).zip|Shikinjou (Japan)|紫禁城
Shin 4 Nin Uchi Mahjong - Yakuman Tengoku (Japan).zip|Shin 4 Nin Uchi Mahjong - Yakuman Tengoku (Japan)|役满天国
Shingen the Ruler (USA).zip|Shingen the Ruler (USA)|武田信玄2
Shin Jinrui - The New Type (Japan).zip|Shin Jinrui - The New Type (Japan)|新人类
Shin Moero!! Pro Yakyuu (Japan).zip|Shin Moero!! Pro Yakyuu (Japan)|燃烧职业棒球
Shinobi (USA) (Unl).zip|Shinobi (USA) (Unl)|忍
Shin Satomi Hakken-Den - Hikari to Yami no Tatakai (Japan).zip|Shin Satomi Hakken-Den - Hikari to Yami no Tatakai (Japan)|新里见八犬传
Shinsenden (Japan).zip|Shinsenden (Japan)|神仙传
Shisen Mahjong - Seifuku Hen (Japan) (Unl).zip|Shisen Mahjong - Seifuku Hen (Japan) (Unl)|四川麻将
Shock wave.zip|Shock wave|冲击波
Shockwave (USA) (Unl).zip|Shockwave (USA) (Unl)|冲击波(美版)
Shougi Meikan '92 (Japan).zip|Shougi Meikan '92 (Japan)|将棋名鑑'92
Shougi Meikan '93 (Japan).zip|Shougi Meikan '93 (Japan)|将棋名鑑'93
Shoukoushi Ceddie (Japan).zip|Shoukoushi Ceddie (Japan)|小公子赛蒂
Shounen Ashibe - Nepal Daibouken no Maki (Japan).zip|Shounen Ashibe - Nepal Daibouken no Maki (Japan)|少年西贝
Shuang Xiang Pao (Asia) (Unl).zip|Shuang Xiang Pao (Asia) (Unl)|双响炮
Shuang Ying (Asia) (Unl).zip|Shuang Ying (Asia) (Unl)|双鹰
Shufflepuck Cafe (Japan).zip|Shufflepuck Cafe (Japan)|撞球咖啡馆
Shui Guo Li (Asia) (Unl).zip|Shui Guo Li (Asia) (Unl)|水果狸
Side Pocket (Europe).zip|Side Pocket (Europe)|花式撞球(欧)
Side Pocket (Japan).zip|Side Pocket (Japan)|花式撞球(日)
Side Pocket (USA).zip|Side Pocket (USA)|花式撞球(美)
Silent Service (Europe).zip|Silent Service (Europe)|沉默的舰队（欧）
Silent Service (USA).zip|Silent Service (USA)|沉默的舰队（美）
Silent Service (USA) (Rev A).zip|Silent Service (USA) (Rev A)|沉默的舰队
Silk Worm (USA).zip|Silk Worm (USA)|中东战争
Silva Saga (Japan).zip|Silva Saga (Japan)|银白色沙加
Silver Surfer (USA).zip|Silver Surfer (USA)|银色冲浪者
Silver white sand.zip|Silver white sand|银白沙
Simpson and the world.zip|Simpson and the world|辛普森世界
Simpsons- The - Bartman Meets Radioactive Man (Europe).zip|Simpsons- The - Bartman Meets Radioactive Man (Europe)|辛普森一家:霸子超人于辐射人（欧）
Simpsons- The - Bartman Meets Radioactive Man (USA) (Beta).zip|Simpsons- The - Bartman Meets Radioactive Man (USA) (Beta)|辛普森一家:霸子超人于辐射人
Simpsons- The - Bartman Meets Radioactive Man (USA).zip|Simpsons- The - Bartman Meets Radioactive Man (USA)|辛普森一家:霸子超人于辐射人（美）
Simpsons- The - Bart vs. the Space Mutants (USA) (Rev A).zip|Simpsons- The - Bart vs. the Space Mutants (USA) (Rev A)|辛普森一族决战太空怪
Simpsons- The - Bart vs. the World (Europe).zip|Simpsons- The - Bart vs. the World (Europe)|辛普森-巴特与世界（欧）
Simpsons- The - Bart vs. the World (USA).zip|Simpsons- The - Bart vs. the World (USA)|辛普森-巴特与世界（美）
Sinbad.zip|Sinbad|辛巴达
Sin street wrangler.zip|Sin street wrangler|辛街牧马人
Six three four sword.zip|Six three four sword|634战役
Skate Boy (Spain) (Gluk Video) (Unl).zip|Skate Boy (Spain) (Gluk Video) (Unl)|滑板男孩
Skate or Die (Europe).zip|Skate or Die (Europe)|滑板生死斗（欧）
Skate or Die (USA).zip|Skate or Die (USA)|滑板生死斗（美）
Skating game.zip|Skating game|花样滑冰
Skating or death 2.zip|Skating or death 2|极限溜冰2
ski.zip|ski|滑雪
Ski or Die (Europe).zip|Ski or Die (Europe)|滑雪生死斗（欧）
Ski or Die (USA).zip|Ski or Die (USA)|滑雪生死斗（美）
Skull & Crossbones (USA) (Unl).zip|Skull & Crossbones (USA) (Unl)|海盗大战
Sky Destroyer (Japan).zip|Sky Destroyer (Japan)|红巾特攻队
Sky kid.zip|Sky kid|天鲨战机
Sky shark.zip|Sky shark|飞翔鲛
Sky Shark (USA) (Rev 0A).zip|Sky Shark (USA) (Rev 0A)|飞翔鲛（美）
Slalom (Europe).zip|Slalom (Europe)|激流回旋（欧）
Slalom Slalom.zip|Slalom Slalom|激流回旋
Slalom (USA).zip|Slalom (USA)|激流回旋（美）
Small egg adventure.zip|Small egg adventure|小鸡蛋冒险
Smash T.V. (Europe).zip|Smash T.V. (Europe)|霹雳趣味大竞赛（欧）
Smash T.V. (USA).zip|Smash T.V. (USA)|霹雳趣味大竞赛（美）
Smurfs- The (Europe) (En-Fr-De-Es).zip|Smurfs- The (Europe) (En-Fr-De-Es)|蓝精灵（欧）
Snake Rattle n Roll (Europe).zip|Snake Rattle n Roll (Europe)|MD贪吃蛇（欧）
Snake Rattle n Roll (USA).zip|Snake Rattle n Roll (USA)|MD贪吃蛇（美）
Snake's Revenge (Europe).zip|Snake's Revenge (Europe)|合金装备2 - 蛇之复仇（欧）
Sniper Chapter 1 - The Dusk of the Gods.zip|Sniper Chapter 1 - The Dusk of the Gods|诸神的黄昏
Snoopy's Silly Sports Spectacular! (USA).zip|Snoopy's Silly Sports Spectacular! (USA)|史努比的趣味运动会
Snowboard Challenge (Europe).zip|Snowboard Challenge (Europe)|滑雪挑战
Snow Bros. (Japan).zip|Snow Bros. (Japan)|雪人兄弟（日）
Snow Brothers (Europe).zip|Snow Brothers (Europe)|雪人兄弟（欧）
Snow Brothers (USA).zip|Snow Brothers (USA)|雪人兄弟（美）
Snowman brothers.zip|Snowman brothers|雪人兄弟
Soap Panic (Japan) (Unl).zip|Soap Panic (Japan) (Unl)|惊悚肥皂剧
Soccer (Europe) (Rev A).zip|Soccer (Europe) (Rev A)|足球（欧）
Soccer League - Winner's Cup (Japan).zip|Soccer League - Winner's Cup (Japan)|足球联赛-冠军杯
Soccer (World).zip|Soccer (World)|足球（国际版）
Softball Tengoku (Japan).zip|Softball Tengoku (Japan)|垒球天国（日）
Solar Jetman - Hunt for the Golden Warpship (Europe).zip|Solar Jetman - Hunt for the Golden Warpship (Europe)|太阳能杰盟:寻找黄金飞船（欧）?
Solar Jetman - Hunt for the Golden Warpship (USA).zip|Solar Jetman - Hunt for the Golden Warpship (USA)|太阳能杰盟:寻找黄金飞船（美）?
Solar jet ship.zip|Solar jet ship|太阳能喷射船
Solitaire (USA) (Unl).zip|Solitaire (USA) (Unl)|纸牌屋（美）
Solitary.zip|Solitary|纸牌屋
Solomon no Kagi 2 - Coolmintou Kyuushutsu Sakusen (Japan).zip|Solomon no Kagi 2 - Coolmintou Kyuushutsu Sakusen (Japan)|所罗门之钥2（日）
Solomon no Kagi (Japan).zip|Solomon no Kagi (Japan)|所罗门之匙（日）
Solomon's Key 2 (Europe).zip|Solomon's Key 2 (Europe)|所罗门之钥2（欧）
Solomon's Key (Europe).zip|Solomon's Key (Europe)|所罗门之钥（欧）
Solstice (Japan).zip|Solstice (Japan)|魔法师大战（日）
Solstice - The Quest for the Staff of Demnos (USA) (Beta).zip|Solstice - The Quest for the Staff of Demnos (USA) (Beta)|魔法师大战（美）(测试版)
Solstice - The Quest for the Staff of Demnos (USA).zip|Solstice - The Quest for the Staff of Demnos (USA)|魔法师大战（美）
Sonic kid 5.zip|Sonic kid 5|音速5
Son Son (Japan).zip|Son Son (Japan)|孙孙（日）
Soreike! Anpanman - Minna de Hiking Game! (Japan).zip|Soreike! Anpanman - Minna de Hiking Game! (Japan)|面包超人大作战
Sou Setsu Ryuu III - The Rosetta Stone (Japan).zip|Sou Setsu Ryuu III - The Rosetta Stone (Japan)|双截龙3
Sou Setsu Ryuu II - The Revenge (Japan).zip|Sou Setsu Ryuu II - The Revenge (Japan)|双截龙2（日）
Space Harrier (Japan).zip|Space Harrier (Japan)|时空战士
Space helicopter.zip|Space helicopter|太空直升机
Space Hunter (Japan).zip|Space Hunter (Japan)|太空猎人
Space Invaders (Japan).zip|Space Invaders (Japan)|太空入侵者
Space Shuttle Project (USA).zip|Space Shuttle Project (USA)|太空穿梭机计划
Sparrow.zip|Sparrow|麻雀
Sparrow RPG Dora.zip|Sparrow RPG Dora|朵拉麻将
Sparrow Wars.zip|Sparrow Wars|麻将战争
Spartan.zip|Spartan|斯巴达战士
Spartan X 2 (Japan).zip|Spartan X 2 (Japan)|成龙踢馆2
Spartan X (Japan).zip|Spartan X (Japan)|成龙踢馆
Spiritual Warfare (USA) (v5.1) (Unl).zip|Spiritual Warfare (USA) (v5.1) (Unl)|魂之战斗（美）(v5.1)
Spiritual Warfare (USA) (v6.0) (Unl).zip|Spiritual Warfare (USA) (v6.0) (Unl)|魂之战斗（美）(v6.0)
Splatter House - Wanpaku Graffiti (Japan).zip|Splatter House - Wanpaku Graffiti (Japan)|鬼屋冒险
Spot - The Video Game (Japan).zip|Spot - The Video Game (Japan)|圆点小子（日）
Spot - The Video Game (USA).zip|Spot - The Video Game (USA)|圆点小子（美）
Spy hunter.zip|Spy hunter|间谍猎人
Spy Hunter (USA).zip|Spy Hunter (USA)|间谍猎人（美）
Spy vs Spy (Europe).zip|Spy vs Spy (Europe)|间谍对间谍（欧）
Spy vs Spy (Japan).zip|Spy vs Spy (Japan)|间谍对间谍（日）
Spy vs Spy (USA).zip|Spy vs Spy (USA)|间谍对间谍（美）
Sqoon (Japan).zip|Sqoon (Japan)|潜艇大作战（日）
Sqoon (Japan) (Rev A).zip|Sqoon (Japan) (Rev A)|潜艇大作战
Sqoon (USA).zip|Sqoon (USA)|潜艇大作战（美）
Square Deal (Japan) (Beta).zip|Square Deal (Japan) (Beta)|公平交易
Square fighter.zip|Square fighter|方形战机
Square no Tom Sawyer (Japan).zip|Square no Tom Sawyer (Japan)|汤姆索亚历险记
Stack-Up (World).zip|Stack-Up (World)|机器人方块
Stanley.zip|Stanley|斯坦利
Stanley - Search for Dr. Livingstone.zip|Stanley - Search for Dr. Livingstone|斯坦利-寻找利文斯通医生
Stanley - The Search for Dr. Livingston (USA).zip|Stanley - The Search for Dr. Livingston (USA)|斯坦利-寻找利文斯通医生(美)
Star block.zip|Star block|星球碰撞
Starfighter fighter [Chinese version].zip|Starfighter fighter [Chinese version]|星球战士（汉）
Star fighter.zip|Star fighter|星球战士
Star Force (Europe).zip|Star Force (Europe)|星际力量（欧）
Star Force (Japan).zip|Star Force (Japan)|星际力量（日）
Star Force (USA).zip|Star Force (USA)|星际力量（美）
Star Gate (Japan).zip|Star Gate (Japan)|星门计划
Star Kabi.zip|Star Kabi|星之卡比
Star Luster (Japan).zip|Star Luster (Japan)|星空战机
Star Soldier (Japan).zip|Star Soldier (Japan)|星际战士
Star Soldier (USA).zip|Star Soldier (USA)|星际战士
Star Trek - 25th Anniversary (Germany).zip|Star Trek - 25th Anniversary (Germany)|星际迷航:25周年（德）
Star Trek - 25th Anniversary (USA).zip|Star Trek - 25th Anniversary (USA)|星际迷航:25周年（美）
Star Trek V - The Final Frontier (Unknown) (Proto).zip|Star Trek V - The Final Frontier (Unknown) (Proto)|星际旅行5：终极先锋
StarTropics (Europe).zip|StarTropics (Europe)|热带之星（欧）
StarTropics (USA).zip|StarTropics (USA)|热带之星（美）
Star Voyager (USA).zip|Star Voyager (USA)|星际旅行者（美）
Star Wars (Europe).zip|Star Wars (Europe)|星球大战（欧）
Star Wars (Japan) (Namco).zip|Star Wars (Japan) (Namco)|星球大战（日）(Namco)
Star Wars (Japan) (Victor).zip|Star Wars (Japan) (Victor)|星球大战（日）(Victor)
Star Wars.zip|Star Wars|星球大战
Star Wars - The Empire Strikes Back (Europe).zip|Star Wars - The Empire Strikes Back (Europe)|星球大战-地球反击战（欧）
Star Wars - The Empire Strikes Back (Japan).zip|Star Wars - The Empire Strikes Back (Japan)|星球大战-地球反击战（日）
Star Wars - The Empire Strikes Back (USA) (Beta).zip|Star Wars - The Empire Strikes Back (USA) (Beta)|星球大战-地球反击战
Star Wars - The Empire Strikes Back (USA).zip|Star Wars - The Empire Strikes Back (USA)|星球大战-地球反击战（美）
Star Wars (USA) (Beta).zip|Star Wars (USA) (Beta)|星球大战（美）(Beta)
Star Wars (USA).zip|Star Wars (USA)|星球大战（美）
Stealing gold.zip|Stealing gold|黄金大盗
Stealing.zip|Stealing|盗贼
Stealth ATF (Europe).zip|Stealth ATF (Europe)|隐形战机（欧）
Stealth ATF (USA).zip|Stealth ATF (USA)|隐形战机（美）
Sted - Iseki Wakusei no Yabou (Japan).zip|Sted - Iseki Wakusei no Yabou (Japan)|遗迹惑星的野望
Steel warrior.zip|Steel warrior|钢铁战士
Stick Hunter - Exciting Ice Hockey (Japan).zip|Stick Hunter - Exciting Ice Hockey (Japan)|爆击冰球
Stinger (USA).zip|Stinger (USA)|毒刺
Strange duck adventure.zip|Strange duck adventure|怪鸭历险记
Strategist (Asia) (NTSC) (Unl).zip|Strategist (Asia) (NTSC) (Unl)|军事家
Strategist (Asia) (PAL) (Unl).zip|Strategist (Asia) (PAL) (Unl)|军事家
Street Cop (USA).zip|Street Cop (USA)|街头警察
Street fast SD.zip|Street fast SD|SD街头快打
Street Fighter 2010 - The Final Fight (USA).zip|Street Fighter 2010 - The Final Fight (USA)|街头格斗2010
Street Fighter 6 (Chinese version).zip|Street Fighter 6 (Chinese version)|街头格斗6
Street Fighting Kid (Chinese).zip|Street Fighting Kid (Chinese)|街头格斗小子
Street Gangs (Europe).zip|Street Gangs (Europe)|街头帮
Street Warrior 2010.zip|Street Warrior 2010|绝地战警2010
Strider Hiryu (Japan) (Proto).zip|Strider Hiryu (Japan) (Proto)|出击飞龙
Strong foreman Ayuan.zip|Strong foreman Ayuan|强壮工头阿原
Stunt Kids (USA) (Unl).zip|Stunt Kids (USA) (Unl)|特技小子
submarine.zip|submarine|潜艇
Subway crossing.zip|Subway crossing|地铁穿越
Suddenly.zip|Suddenly|突击
Sugoro Quest - Dice no Senshitachi (Japan).zip|Sugoro Quest - Dice no Senshitachi (Japan)|赌神
Suikoden - Tenmei no Chikai (Japan).zip|Suikoden - Tenmei no Chikai (Japan)|水浒传 - 天命之誓
Sukeban Deka III (Japan).zip|Sukeban Deka III (Japan)|形式三姐妹
Summer Carnival '92 - Recca (Japan).zip|Summer Carnival '92 - Recca (Japan)|烈火92
Summit warship.zip|Summit warship|顶峰战舰
Sunday Funday - The Ride (USA) (Unl).zip|Sunday Funday - The Ride (USA) (Unl)|愉快的星期日
Sunman (Europe) (Proto).zip|Sunman (Europe) (Proto)|太阳超人
Sun superman.zip|Sun superman|阳光超人
Super Arabian (Japan).zip|Super Arabian (Japan)|辛巴达
Super bowling.zip|Super bowling|特库摩保龄球
Super Cars (USA).zip|Super Cars (USA)|超级赛车
Super chef.zip|Super chef|奇味比萨饼
Super Chinese 2 - Dragon Kid (Japan).zip|Super Chinese 2 - Dragon Kid (Japan)|超级中国人2?- 龙之子
Super Chinese 3 (Japan).zip|Super Chinese 3 (Japan)|超级中国人3
Super Chinese (Japan).zip|Super Chinese (Japan)|超级中国人
Super confusing star war.zip|Super confusing star war|星球大战
Super crow's dog.zip|Super crow's dog|哮天犬
Super C (USA).zip|Super C (USA)|超級魂鬥羅(美版)
Super Dodge Ball (USA).zip|Super Dodge Ball (USA)|热血斗球传说
Super Dyna'mix Badminton (Japan).zip|Super Dyna'mix Badminton (Japan)|超级羽毛球
Super floating fortress.zip|Super floating fortress|超浮游要塞
Super Glove Ball (USA).zip|Super Glove Ball (USA)|超级手球?
Super Jeopardy! (USA).zip|Super Jeopardy! (USA)|超级美国名人智力竞答
Superman Club 2.zip|Superman Club 2|超人俱乐部2
Superman Club 3.zip|Superman Club 3|超人俱乐部3
Super Momotarou Dentetsu (Japan).zip|Super Momotarou Dentetsu (Japan)|超级桃太郎电铁
Super Pang (Asia) (PAL) (Unl).zip|Super Pang (Asia) (PAL) (Unl)|超级魔法气泡
Super Pinball (Japan) (Beta).zip|Super Pinball (Japan) (Beta)|超级陷阱2
Super Pinball (Japan).zip|Super Pinball (Japan)|超级陷阱2（日）
Super Pitfall II (USA) (Proto).zip|Super Pitfall II (USA) (Proto)|超级陷阱2（美）
Super Pitfall (Japan).zip|Super Pitfall (Japan)|超级陷阱（日）
Super Pitfall (USA).zip|Super Pitfall (USA)|超级陷阱（美）
Super Real Baseball '88 (Japan).zip|Super Real Baseball '88 (Japan)|超级实战棒球?88
Super Rugby (Japan).zip|Super Rugby (Japan)|超级橄榄球
Super Sports Challenge (Europe) (Plug-Thru Cart) (Unl).zip|Super Sports Challenge (Europe) (Plug-Thru Cart) (Unl)|热血进行曲:大运动会
Super Sports Challenge (Europe) (Unl).zip|Super Sports Challenge (Europe) (Unl)|热血进行曲:大运动会（欧）
Super Sprint (Japan).zip|Super Sprint (Japan)|超级冲刺赛（日）
Super Sprint (USA) (Unl).zip|Super Sprint (USA) (Unl)|超级冲刺赛（美）
Super Spy Hunter (Europe).zip|Super Spy Hunter (Europe)|超级间谍猎人（欧）
Super spy hunter.zip|Super spy hunter|超级间谍猎人
Super Spy Hunter (USA).zip|Super Spy Hunter (USA)|超级间谍猎人（美）
Superstar Pro Wrestling (Japan).zip|Superstar Pro Wrestling (Japan)|新日本职业摔角联盟
Super Werewolf Battle.zip|Super Werewolf Battle|超人狼战记
Superwoman Laura.zip|Superwoman Laura|超级女侠
Super Xevious - Gump no Nazo (Japan).zip|Super Xevious - Gump no Nazo (Japan)|超级铁板阵
